Title,Year,IMDB Rating,Rated,Duration,Genre,Metascore,Votes,Gross USD
Inception,2010,8.8,PG-13,148 min,"Action, Adventure, Sci-Fi",74,"2,424,833",$292.58M
Black Swan,2010,8.0,R,108 min,"Drama, Thriller",79,"791,573",$106.95M
The Social Network,2010,7.8,PG-13,120 min,"Biography, Drama",95,"726,057",$96.96M
Alice in Wonderland,2010,6.4,PG,108 min,"Adventure, Family, Fantasy",0,"426,757",$334.19M
Toy Story 3,2010,8.3,G,103 min,"Animation, Adventure, Comedy",92,"858,902",$415.00M
The King's Speech,2010,8.0,R,118 min,"Biography, Drama, History",88,"693,121",$138.80M
The Fighter,2010,7.8,R,116 min,"Action, Biography, Drama",79,"378,153",$93.62M
The Wolfman,2010,5.8,R,103 min,"Drama, Fantasy, Horror",0,"108,904",$61.98M
Inside Job,2010,8.2,PG-13,109 min,"Documentary, Crime",88,"77,165",$4.31M
Beginners,2010,7.2,R,105 min,"Comedy, Drama, Romance",81,"93,651",$5.79M
In a Better World,2010,7.6,R,118 min,"Drama, Romance",65,"40,854",$1.01M
The Lost Thing,2010,7.3,Not Rated,15 min,"Animation, Short, Drama",0,"3,642",
God of Love,2010,7.6,Not Rated,18 min,"Short, Comedy, Fantasy",0,"1,872",
Music by Prudence,2010,7.1,Not Rated,33 min,"Documentary, Short, Biography",0,155,
Strangers No More,2010,7.3,Not Rated,40 min,"Documentary, Short",0,216,
